Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
10540,8686,2.907,2.874,1627.609,1609.504,2.907,2.874,p0010,2023,16376,16376.0,99.94507598876953
10555,8686,66.607,65.779,24873.682,24567.412,66.607,65.779,p0010,2023,368939,369142.0,99.9780502319336
10572,8690,1.664,1.646,904.042,894.114,1.664,1.646,p0010,2023,7127,7131.0,99.9719467163086
10600,8690,1.649,1.623,735.903,725.251,1.649,1.623,p0010,2023,8993,8999.0,99.98888397216797
10601,8691,42.137,41.604,13884.0,13711.879,42.137,41.604,p0010,2023,236421,236562.0,99.97547149658203
10602,8692,9.383,9.267,3993.0,3949.716,9.383,9.267,p0010,2023,52292,52322.0,99.96559143066406
10604,8695,179.214,176.539,28815.0,28390.844,179.214,176.539,p0010,2023,990824,991408.0,99.97578430175781
10605,8696,254.538,250.679,41335.0,40717.634,254.538,250.679,p0010,2023,1405329,1406195.0,99.9701919555664
10615,8701,203.938,200.666,28158.0,27718.775,203.938,200.666,p0010,2023,1122732,1123437.0,99.97586822509766
10693,8723,58.526,57.768,18957.0,18712.768,58.526,57.768,p0010,2023,326660,326859.0,99.96633911132812
10694,8724,86.467,85.08,11833.0,11645.588,86.467,85.08,p0010,2023,485302,485594.0,99.96951293945312
10695,8725,130.9,128.763,16865.0,16591.815,130.9,128.763,p0010,2023,731987,732473.0,99.97924041748047
10698,8728,117.916,115.874,14449.0,14218.423,117.916,115.874,p0010,2023,652961,653393.0,99.96907043457031
10699,8729,307.525,302.407,37540.0,36922.951,307.525,302.407,p0010,2023,1707447,1708510.0,99.97687530517578
10700,8730,315.979,310.832,40721.0,40066.58,315.979,310.832,p0010,2023,1725473,1726544.0,99.97867584228516
10701,8731,350.826,343.462,27257.0,26706.886,350.826,343.462,p0010,2023,1902024,1903243.0,99.98060607910156
10729,8736,331.992,326.664,43594.0,42894.619,331.992,326.664,p0010,2023,1811745,1812814.0,99.97152709960938
10732,8738,353.829,347.232,32277.0,31676.996,353.829,347.232,p0010,2023,1939607,1940831.0,99.9823226928711
10733,8739,335.857,329.764,34033.0,33431.047,335.857,329.764,p0010,2023,1842139,1843307.0,99.98257446289062
10738,8741,325.511,319.09,27715.0,27186.107,325.511,319.09,p0010,2023,1784628,1785786.0,99.98235321044922
10743,8746,483.268,473.194,36343.0,35608.037,483.268,473.194,p0010,2023,2638021,2639748.0,99.98684692382812
10747,8750,1.502,1.473,333.0,329.453,1.502,1.473,p0010,2023,8730,8730.0,99.96565246582031
10775,8754,698.182,682.7,48489.0,47454.158,698.182,682.7,p0010,2023,3773992,3776408.0,99.98564147949219
10792,8771,661.116,646.225,44364.0,43399.538,661.116,646.225,p0010,2023,3603907,3606249.0,99.98601531982422
10794,8773,699.964,683.577,44076.0,43074.618,699.964,683.577,p0010,2023,3846654,3849095.0,99.987548828125
10796,8775,410.68,400.332,22906.0,22339.007,410.68,400.332,p0010,2023,2256519,2257924.0,99.98674774169922
10799,8778,0.547,0.546,22002.0,21925.181,0.547,0.546,p0010,2023,3133,3140.0,98.15162658691406
10829,8782,559.313,545.962,33541.0,32756.886,559.313,545.962,p0010,2023,3041230,3043203.0,99.98789978027344
