Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
15260,9644,0.227,0.227,44798.0,44639.139,0.227,0.227,p0011,2024,6102,6107.0,49.41291046142578
15267,9651,9.031,9.0,27828.0,25093.572,9.031,9.0,p0011,2024,104822,104918.0,94.05040740966797
15269,9653,502.211,491.74,42777.0,41984.646,502.211,491.74,p0011,2024,5336026,5341360.0,98.29222106933594
15270,9654,384.789,375.664,21784.0,21060.328,384.789,375.664,p0011,2024,4088457,4092632.0,98.92607116699219
15287,9659,223.615,218.919,13878.0,13571.453,223.615,218.919,p0011,2024,2395553,2398021.0,98.79375457763672
15289,9661,36.816,36.031,2615.0,2527.996,36.816,36.031,p0011,2024,393547,393974.0,98.43621063232422
15290,9662,755.354,738.76,46394.0,45387.534,755.354,738.76,p0011,2024,8019841,8028202.0,98.99333953857422
15387,9663,622.936,609.125,37718.0,36912.627,622.936,609.125,p0011,2024,6631905,6638663.0,98.984375
15388,9664,754.142,738.131,48072.0,46938.848,754.142,738.131,p0011,2024,7955499,7963720.0,99.0743179321289
15390,9666,681.379,666.159,40641.0,39751.328,681.379,666.159,p0011,2024,7206042,7213489.0,99.06749725341797
15391,9667,547.617,533.741,28377.0,27487.147,547.617,533.741,p0011,2024,5723296,5729227.0,98.99800109863281
15394,9670,841.122,822.645,51994.0,50874.401,841.122,822.645,p0011,2024,8894279,8903587.0,99.09285736083984
15396,9672,57.929,56.487,3797.0,3399.915,57.929,56.487,p0011,2024,614131,614771.0,98.5101547241211
15398,9674,168.169,163.757,8888.0,8510.322,168.169,163.757,p0011,2024,1764000,1765831.0,98.82032012939453
15415,9677,330.451,321.264,16796.0,16293.396,330.451,321.264,p0011,2024,3699147,3703006.0,99.00641632080078
15418,9680,193.209,187.837,10032.0,9710.838,193.209,187.837,p0011,2024,2164608,2166677.0,98.90743255615234
15421,9683,2.042,1.997,418.0,141.143,2.042,1.997,p0011,2024,24826,24850.0,98.31300354003906
15422,9684,467.945,455.342,24409.0,23414.727,467.945,455.342,p0011,2024,5200850,5206076.0,99.0447006225586
15424,9686,81.795,79.647,4695.0,4484.709,81.795,79.647,p0011,2024,913902,914769.0,98.72966766357422
15425,9687,808.868,790.338,51707.0,50240.542,808.868,790.338,p0011,2024,9101297,9110191.0,99.07219696044922
15429,9691,1069.79,1047.736,81478.0,79964.562,1069.79,1047.736,p0011,2024,12030292,12042291.0,99.1475601196289
15432,9694,723.809,706.765,41720.0,40664.149,723.809,706.765,p0011,2024,7651419,7659111.0,99.02664184570312
15434,9696,636.312,620.821,35423.0,34430.117,636.312,620.821,p0011,2024,6776019,6783070.0,99.14904022216797
15438,9700,784.958,767.111,47725.0,46653.821,784.958,767.111,p0011,2024,8378086,8386879.0,99.13943481445312
15439,9701,400.143,389.413,20094.0,19561.911,400.143,389.413,p0011,2024,4249292,4253563.0,99.06906127929688
15443,9705,129.997,126.587,6998.0,6803.288,129.997,126.587,p0011,2024,1377298,1378770.0,98.85845947265625
15445,9707,838.97,819.868,51332.0,50206.282,838.97,819.868,p0011,2024,8947358,8956491.0,99.12968444824219
15446,9708,913.491,893.536,59847.0,58644.304,913.491,893.536,p0011,2024,9689169,9699045.0,99.09461212158203
15455,9717,0.976,0.971,23140.0,21767.712,0.976,0.971,p0011,2024,11369,11380.0,89.92327880859375
15553,9734,0.13,0.129,4188.0,4170.504,0.13,0.129,p0011,2024,1485,1486.0,65.70796203613281
15676,9801,0.012,0.011,2113.0,1696.97,0.012,0.011,p0011,2024,0,0.0,0.0
15678,9803,7.922,7.902,16080.0,15965.579,7.922,7.902,p0011,2024,89750,89833.0,98.11638641357422
15679,9804,3.635,3.625,8044.0,7974.458,3.635,3.625,p0011,2024,40927,40971.0,98.20044708251953
15681,9806,53.457,53.124,17613.0,17462.572,53.457,53.124,p0011,2024,594623,595219.0,98.8228530883789
15683,9808,232.218,228.809,22457.0,22131.321,232.218,228.809,p0011,2024,2551972,2554568.0,98.830322265625
15685,9810,729.72,713.52,41519.0,40625.1,729.72,713.52,p0011,2024,6895520,6902687.0,98.8934097290039
15687,9812,845.152,825.79,50429.0,49291.694,845.152,825.79,p0011,2024,9076333,9085932.0,99.1195297241211
15688,9813,332.776,323.595,16330.0,15819.1,332.776,323.595,p0011,2024,3492345,3496059.0,98.95703125
15691,9816,113.811,110.696,6036.0,5701.668,113.811,110.696,p0011,2024,1195245,1196608.0,98.77739715576172
15694,9819,19.749,19.609,60318.0,59824.521,19.749,19.609,p0011,2024,527147,527661.0,83.19883728027344
15723,9832,161.239,157.073,8652.0,8406.297,161.239,157.073,p0011,2024,1690407,1692115.0,98.79816436767578
15749,9838,180.0,175.26,9522.0,9096.25,180.0,175.26,p0011,2024,1890055,1892074.0,98.82950592041016
15751,9840,724.624,707.049,40172.0,39182.331,724.624,707.049,p0011,2024,7762886,7770835.0,99.10719299316406
15754,9842,933.833,912.283,53025.0,51799.602,933.833,912.283,p0011,2024,9997114,10007453.0,99.1723861694336
15755,9843,301.184,293.791,16515.0,16029.832,301.184,293.791,p0011,2024,3176063,3179322.0,99.0046157836914
15758,9846,161.584,157.42,8672.0,8203.186,161.584,157.42,p0011,2024,1709723,1711506.0,98.86929321289062
15762,9848,331.436,322.96,17179.0,16565.294,331.436,322.96,p0011,2024,3473770,3477257.0,98.98052215576172
15763,9849,965.149,942.861,54988.0,53723.271,965.149,942.861,p0011,2024,10282228,10292743.0,99.09187316894531
15765,9851,23.796,23.273,2020.0,1683.803,23.796,23.273,p0011,2024,255104,255364.0,98.30976104736328
15766,9852,781.694,763.094,42373.0,41294.924,781.694,763.094,p0011,2024,8284939,8293615.0,99.11360931396484
15782,9857,162.493,158.493,8791.0,8481.58,162.493,158.493,p0011,2024,1698584,1700238.0,98.98617553710938
15784,9859,48.669,47.603,3124.0,3008.981,48.669,47.603,p0011,2024,515832,516352.0,98.78337860107422
15785,9860,586.968,571.889,30026.0,28972.116,586.968,571.889,p0011,2024,6260781,6267158.0,99.12993621826172
15786,9861,844.583,825.635,49970.0,48837.519,844.583,825.635,p0011,2024,9068380,9077726.0,99.18074798583984
15787,9862,318.332,310.308,16990.0,16188.268,318.332,310.308,p0011,2024,3362347,3365902.0,99.05821990966797
15789,9864,273.715,266.814,14442.0,14050.667,273.715,266.814,p0011,2024,2892808,2895764.0,99.02925109863281
15790,9865,213.867,208.52,11504.0,11000.296,213.867,208.52,p0011,2024,2247721,2250086.0,98.99007415771484
15814,9867,23.909,23.464,2087.0,1790.334,23.909,23.464,p0011,2024,166929,167127.0,98.39669036865234
15816,9869,347.625,338.808,17822.0,17303.272,347.625,338.808,p0011,2024,3604173,3608006.0,99.07415008544922
15818,9871,191.205,186.353,10052.0,9645.184,191.205,186.353,p0011,2024,2002638,2004702.0,98.97987365722656
15820,9873,391.758,381.834,20159.0,19485.379,391.758,381.834,p0011,2024,4124713,4128807.0,99.08292388916016
15838,9877,879.024,860.151,53587.0,52447.279,879.024,860.151,p0011,2024,9520589,9530093.0,99.16265106201172
15839,9878,735.851,717.683,38538.0,37332.496,735.851,717.683,p0011,2024,7918245,7926424.0,99.20045471191406
15840,9879,213.817,208.403,11283.0,10823.42,213.817,208.403,p0011,2024,2278516,2280807.0,99.04046630859375
15844,9883,259.165,252.57,13414.0,12901.551,259.165,252.57,p0011,2024,2748780,2751481.0,99.02265930175781
15849,9885,34.119,33.416,2154.0,2106.021,34.119,33.416,p0011,2024,369435,369813.0,98.669921875
15850,9886,342.514,334.808,17497.0,17042.404,342.514,334.808,p0011,2024,3650368,3654029.0,99.1200942993164
15868,9891,7.432,7.4,3238.0,2608.271,7.432,7.4,p0011,2024,83171,83276.0,99.15119934082031
15873,9895,39.194,39.021,12821.0,12715.168,39.194,39.021,p0011,2024,437026,437403.0,99.2093276977539
15874,9896,862.922,845.268,48792.0,47793.041,862.922,845.268,p0011,2024,9324502,9333680.0,99.21268463134766
15877,9899,875.483,857.36,48623.0,47592.24,875.483,857.36,p0011,2024,9437603,9447119.0,99.25306701660156
15878,9900,878.433,860.484,49951.0,48926.539,878.433,860.484,p0011,2024,9515878,9525313.0,99.24925994873047
15882,9904,42.568,41.676,2719.0,2539.673,42.568,41.676,p0011,2024,456871,457360.0,98.68135070800781
15883,9905,901.196,882.336,50269.0,49207.513,901.196,882.336,p0011,2024,9773702,9783634.0,99.21309661865234
15884,9906,543.721,531.228,27699.0,26637.38,543.721,531.228,p0011,2024,5854773,5860815.0,99.17539978027344
15902,9910,877.787,859.608,49211.0,47905.662,877.787,859.608,p0011,2024,9495534,9505127.0,99.23677825927734
15903,9911,899.963,881.657,51056.0,50008.205,899.963,881.657,p0011,2024,9673583,9683020.0,99.23064422607422
15904,9912,126.087,123.327,6736.0,6550.944,126.087,123.327,p0011,2024,1327922,1329227.0,98.99198150634766
15909,9917,749.949,733.602,40246.0,38969.637,749.949,733.602,p0011,2024,8139826,8147991.0,99.23522186279297
15912,9920,899.611,881.321,51672.0,50619.738,899.611,881.321,p0011,2024,9717258,9727058.0,99.2253646850586
15913,9921,932.571,914.023,54829.0,53743.199,932.571,914.023,p0011,2024,10064302,10074385.0,99.26256561279297
15915,9923,955.002,935.336,53873.0,52800.541,955.002,935.336,p0011,2024,10335331,10345952.0,99.26610565185547
15917,9925,78.396,76.66,4584.0,4200.227,78.396,76.66,p0011,2024,839761,840622.0,98.92295837402344
15918,9926,883.425,864.831,48289.0,47257.66,883.425,864.831,p0011,2024,8520863,8529496.0,99.32160186767578
15919,9927,265.73,259.693,13740.0,13392.197,265.73,259.693,p0011,2024,2835957,2838814.0,99.10025787353516
15945,9931,913.058,894.538,51332.0,50268.036,913.058,894.538,p0011,2024,9878957,9888663.0,99.29608154296875
15946,9932,343.938,336.084,17398.0,16817.026,343.938,336.084,p0011,2024,3653068,3656651.0,99.18861389160156
15948,9934,129.781,126.845,6879.0,6689.156,129.781,126.845,p0011,2024,1390811,1392239.0,99.09639739990234
15949,9935,299.158,292.269,15203.0,14629.191,299.158,292.269,p0011,2024,3175091,3178232.0,99.19214630126953
15950,9936,219.98,214.956,11212.0,10899.663,219.98,214.956,p0011,2024,2335582,2337954.0,99.1578140258789
15951,9937,799.932,782.756,42589.0,41576.282,799.932,782.756,p0011,2024,8628567,8637238.0,99.30279541015625
15953,9939,846.563,828.308,45338.0,44078.616,846.563,828.308,p0011,2024,9185393,9194456.0,99.33053588867188
15955,9941,624.32,609.994,31268.0,30492.777,624.32,609.994,p0011,2024,6458154,6464568.0,99.28309631347656
15956,9942,684.471,669.041,34711.0,33911.393,684.471,669.041,p0011,2024,7375886,7383161.0,99.31068420410156
15957,9943,797.35,779.925,41905.0,41005.238,797.35,779.925,p0011,2024,8616949,8625656.0,99.31804656982422
15961,9945,801.001,783.21,41267.0,40326.262,801.001,783.21,p0011,2024,8681850,8690631.0,99.3095474243164
15963,9947,557.099,544.109,27816.0,26928.397,557.099,544.109,p0011,2024,6058372,6064494.0,99.27223205566406
15967,9951,879.385,860.426,46866.0,45835.557,879.385,860.426,p0011,2024,9522092,9531528.0,99.34483337402344
15975,9960,8.253,8.111,858.0,727.88,8.253,8.111,p0011,2024,91728,91808.0,98.31721496582031
15977,9962,306.764,299.527,15264.0,14756.013,306.764,299.527,p0011,2024,3275103,3278329.0,99.19775390625
15993,9966,0.313,0.312,7683.0,7424.477,0.313,0.312,p0011,2024,3657,3661.0,88.65454864501953
15994,9967,818.979,800.561,42205.0,41011.497,818.979,800.561,p0011,2024,8861447,8870364.0,99.33502197265625
15996,9969,942.762,922.69,51604.0,50501.756,942.762,922.69,p0011,2024,10185783,10195987.0,99.34127807617188
15997,9970,174.138,170.122,9197.0,8682.849,174.138,170.122,p0011,2024,1863281,1865103.0,99.15399169921875
15998,9971,655.924,640.44,32182.0,31397.172,655.924,640.44,p0011,2024,7079325,7086413.0,99.31303405761719
16000,9973,923.222,903.489,50167.0,49087.283,923.222,903.489,p0011,2024,9968947,9978911.0,99.33688354492188
16001,9974,962.941,942.587,53332.0,52144.232,962.941,942.587,p0011,2024,10471219,10481723.0,99.36550903320312
16018,9978,803.72,785.431,40900.0,39920.451,803.72,785.431,p0011,2024,8720846,8729708.0,99.34928131103516
16022,9982,889.812,870.576,48262.0,47211.28,889.812,870.576,p0011,2024,9687447,9696970.0,99.33489227294922
16023,9983,881.498,862.101,46809.0,45762.773,881.498,862.101,p0012,2024,9623519,9633198.0,99.36014556884766
16024,9984,377.741,368.692,18618.0,17869.989,377.741,368.692,p0012,2024,4039743,4043727.0,99.29664611816406
16028,9986,940.903,920.682,51216.0,50110.359,940.903,920.682,p0012,2024,10212197,10222608.0,99.3917007446289
16042,9987,919.52,899.595,49258.0,48180.085,919.52,899.595,p0012,2024,9946634,9956733.0,99.38243865966797
16043,9988,780.728,762.143,37889.0,36952.597,780.728,762.143,p0012,2024,8365138,8373498.0,99.32416534423828
16057,9989,838.528,819.902,43761.0,42765.891,838.528,819.902,p0012,2024,9096996,9106139.0,99.38713073730469
16060,9992,13.292,13.052,918.0,872.349,13.292,13.052,p0012,2024,8165,8170.0,98.90975189208984
16064,9994,550.125,537.011,26786.0,26134.537,550.125,537.011,p0012,2024,5918329,5924363.0,99.31137084960938
16065,9995,539.918,527.084,26489.0,25648.235,539.918,527.084,p0012,2024,5801688,5807446.0,99.30292510986328
16068,9996,907.859,887.9,48035.0,47004.54,907.859,887.9,p0012,2024,10184527,10194914.0,99.3820571899414
16071,10000,284.246,277.601,14275.0,13856.56,284.246,277.601,p0012,2024,3037267,3040234.0,99.28878784179688
16072,10001,864.754,845.798,45782.0,44761.655,864.754,845.798,p0012,2024,9360527,9369884.0,99.38020324707031
16073,10002,125.559,122.72,7261.0,6420.402,125.559,122.72,p0012,2024,1337076,1338511.0,99.19064331054688
16075,10004,110.249,107.74,6239.0,5717.14,110.249,107.74,p0012,2024,1180262,1181453.0,99.18426513671875
16076,10005,851.582,832.935,44800.0,43798.638,851.582,832.935,p0012,2024,9177026,9186260.0,99.3874282836914
16077,10006,862.47,843.427,45262.0,44049.546,862.47,843.427,p0012,2024,9305306,9314751.0,99.38290405273438
16096,10010,791.342,773.235,40135.0,39098.746,791.342,773.235,p0012,2024,8541928,8550623.0,99.34746551513672
16098,10012,247.316,241.521,12582.0,12014.907,247.316,241.521,p0012,2024,476841,477296.0,99.32801055908203
16099,10013,143.672,140.442,7894.0,7431.435,143.672,140.442,p0012,2024,1535774,1537293.0,99.23822021484375
16100,10014,155.722,152.603,9960.0,9370.855,155.722,152.603,p0012,2024,1670340,1672027.0,99.15003967285156
16102,10016,596.003,581.922,29291.0,28300.347,596.003,581.922,p0012,2024,6381009,6387385.0,99.44881439208984
16103,10017,781.479,763.691,39459.0,38530.408,781.479,763.691,p0012,2024,8411223,8419644.0,99.38394165039062
16393,10049,867.156,848.647,47277.0,46252.886,867.156,848.647,p0012,2024,9476627,9485952.0,99.3120346069336
16394,10050,553.68,540.524,27119.0,26231.313,553.68,540.524,p0012,2024,5939841,5945799.0,99.30767059326172
16396,10052,942.265,921.501,49337.0,48261.841,942.265,921.501,p0012,2024,10182768,10192980.0,99.38536071777344
16400,10056,935.713,915.093,49056.0,47998.483,935.713,915.093,p0012,2024,10150386,10160705.0,99.38084411621094
16403,10059,123.935,121.067,6452.0,6272.634,123.935,121.067,p0012,2024,1271985,1273155.0,99.17029571533203
16405,10061,374.879,366.017,18420.0,17948.243,374.879,366.017,p0012,2024,3585475,3589148.0,99.31895446777344
16517,10066,362.031,353.859,22642.0,21822.905,362.031,353.859,p0012,2024,3924297,3928367.0,99.13395690917969
16522,10068,6.501,6.385,682.0,481.274,6.501,6.385,p0012,2024,71794,71863.0,98.921142578125
16523,10069,898.148,878.555,47789.0,46731.962,898.148,878.555,p0012,2024,9799906,9810003.0,99.37608337402344
16531,10070,139.364,136.125,7283.0,6975.215,139.364,136.125,p0012,2024,1504697,1506188.0,99.21920776367188
16533,10072,861.572,842.714,45501.0,44503.379,861.572,842.714,p0012,2024,8710887,8719650.0,99.37472534179688
16542,10073,896.465,876.891,47462.0,46453.692,896.465,876.891,p0012,2024,9398465,9407856.0,99.36682891845703
16558,10074,912.291,892.12,48197.0,47085.668,912.291,892.12,p0012,2024,9943713,9953684.0,99.39045715332031
16564,10075,236.03,230.577,12078.0,11687.238,236.03,230.577,p0012,2024,2526983,2529571.0,99.28500366210938
16581,10077,667.071,651.298,32865.0,31965.239,667.071,651.298,p0012,2024,7247428,7254963.0,99.3726577758789
16628,10082,257.016,250.95,12876.0,12450.73,257.016,250.95,p0012,2024,2483596,2485901.0,99.31031799316406
16635,10084,1232.217,1208.592,79703.0,78296.577,1232.217,1208.592,p0012,2024,13519021,13532805.0,99.39165496826172
16648,10086,8.266,8.119,582.964,573.193,8.266,8.119,p0012,2024,90155,90236.0,98.70913696289062
16649,10086,246.201,240.381,12199.745,11808.475,246.201,240.381,p0012,2024,2644009,2646671.0,99.26978302001953
16650,10087,821.574,803.475,43070.0,42130.701,821.574,803.475,p0012,2024,8925116,8933857.0,99.40241241455078
16653,10090,806.666,788.367,41188.0,40245.569,806.666,788.367,p0012,2024,8445469,8453928.0,99.3852310180664
16657,10091,417.841,408.017,20653.0,19944.15,417.841,408.017,p0012,2024,4487282,4491657.0,99.33977508544922
16658,10092,963.848,943.084,51663.0,50534.596,963.848,943.084,p0012,2024,10431586,10442021.0,99.36979675292969
16659,10093,190.956,186.537,9866.0,9379.322,190.956,186.537,p0012,2024,1979316,1981226.0,99.2627944946289
16660,10094,239.213,233.623,12213.0,11642.898,239.213,233.623,p0012,2024,2554273,2556790.0,99.30158233642578
16661,10095,951.342,930.728,50638.0,49529.55,951.342,930.728,p0012,2024,10292539,10302932.0,99.37704467773438
16662,10096,373.95,365.095,18847.0,17820.541,373.95,365.095,p0012,2024,4005778,4009737.0,99.32063293457031
16663,10097,876.53,857.136,45430.0,44379.405,876.53,857.136,p0012,2024,9495772,9505052.0,99.39448547363281
16664,10098,339.13,331.232,17064.0,16431.503,339.13,331.232,p0012,2024,3633265,3636794.0,99.32408142089844
16665,10099,404.139,394.702,19852.0,19328.879,404.139,394.702,p0012,2024,4337916,4342215.0,99.33810424804688
16667,10100,853.235,834.07,43386.0,42380.97,853.235,834.07,p0012,2024,9281436,9290847.0,99.407958984375
16669,10102,0.05,0.049,163.0,5.273,0.05,0.049,p0012,2024,1441,1441.0,49.6383056640625
16684,10104,237.37,232.293,13176.0,12839.104,237.37,232.293,p0012,2024,2555594,2558140.0,99.24193572998047
16685,10105,977.62,956.632,52575.0,51439.34,977.62,956.632,p0012,2024,10634139,10644827.0,99.41865539550781
16687,10107,922.105,901.834,48350.0,47104.673,922.105,901.834,p0012,2024,10003057,10013289.0,99.42572021484375
16690,10109,11.177,10.98,834.0,789.439,11.177,10.98,p0012,2024,122016,122134.0,98.90168762207031
16693,10112,532.71,520.291,26155.0,25405.983,532.71,520.291,p0012,2024,5681804,5687278.0,99.36955261230469
16696,10115,782.956,764.902,38574.0,37640.027,782.956,764.902,p0012,2024,8464792,8473005.0,99.41556549072266
16697,10116,951.948,931.372,50160.0,49081.357,951.948,931.372,p0012,2024,10291824,10301851.0,99.42160034179688
16698,10117,39.849,39.051,2478.0,2406.775,39.849,39.051,p0012,2024,429701,430143.0,99.09598541259766
16699,10118,973.766,952.901,52042.0,50882.523,973.766,952.901,p0012,2024,10556147,10566649.0,99.43601989746094
16700,10119,54.018,52.84,3087.0,3000.306,54.018,52.84,p0012,2024,581823,582386.0,99.16249084472656
16715,10122,1015.516,993.838,54253.0,53052.893,1015.516,993.838,p0012,2024,10251927,10262167.0,99.43379211425781
16716,10123,7.07,6.939,846.0,470.744,7.07,6.939,p0012,2024,76891,76974.0,98.90789794921875
16730,10125,940.786,920.001,49086.0,47983.874,940.786,920.001,p0012,2024,10159006,10169177.0,99.41578674316406
16731,10126,717.303,700.306,35511.0,34075.741,717.303,700.306,p0012,2024,7751382,7759317.0,99.39180755615234
16732,10127,696.668,680.4,34265.0,33431.396,696.668,680.4,p0012,2024,7507116,7514719.0,99.38789367675781
16798,10130,908.866,888.516,46712.0,45645.94,908.866,888.516,p0012,2024,9869160,9878890.0,99.42619323730469
16800,10132,493.688,482.134,24520.0,23459.991,493.688,482.134,p0012,2024,5255634,5261022.0,99.37671661376953
16802,10134,866.456,846.84,43554.0,42551.709,866.456,846.84,p0012,2024,9328770,9337830.0,99.43061828613281
16805,10137,611.033,596.53,29598.0,28863.866,611.033,596.53,p0012,2024,6581167,6587678.0,99.37366485595703
16806,10138,522.208,509.84,26016.0,24717.517,522.208,509.84,p0012,2024,5578939,5584682.0,99.37334442138672
16848,10139,93.891,91.763,5079.0,4908.719,93.891,91.763,p0012,2024,996246,997310.0,99.18748474121094
16850,10141,92.292,90.188,4942.0,4764.529,92.292,90.188,p0012,2024,980374,981421.0,99.21749114990234
16853,10144,338.821,330.892,16641.0,16217.708,338.821,330.892,p0012,2024,3542413,3545904.0,99.32549285888672
16901,10189,184.594,180.422,9722.0,9299.277,184.594,180.422,p0012,2024,35852,35884.0,99.38184356689453
16916,10190,628.975,614.61,31733.0,30801.966,628.975,614.61,p0012,2024,6577840,6584505.0,99.3727798461914
16923,10197,882.394,862.635,45100.0,44105.86,882.394,862.635,p0012,2024,9780737,9790207.0,99.3861083984375
16929,10199,913.339,890.717,47373.0,46141.898,913.339,890.717,p0012,2024,9720531,9730290.0,99.39014434814453
