Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
11523,9031,728.826,712.0,47931.0,46866.809,728.826,712.0,p0010,2023,3976960,3979411.0,-1
11527,9035,687.889,671.597,43418.0,42428.636,687.889,671.597,p0010,2023,3738045,3740066.0,-1
11528,9036,779.81,760.513,46637.0,45520.072,779.81,760.513,p0010,2023,4233016,4235542.0,-1
11583,9043,851.741,831.154,52957.0,51732.837,851.741,831.154,p0010,2023,4630055,4632822.0,-1
11584,9044,804.522,784.745,48954.0,47799.368,804.522,784.745,p0010,2023,4406050,4408726.0,-1
11585,9045,776.246,757.425,48532.0,47409.573,776.246,757.425,p0010,2023,4250974,4253618.0,-1
11586,9046,345.216,335.657,17943.0,17458.828,345.216,335.657,p0010,2023,1905321,1906455.0,-1
11589,9049,563.214,548.692,32123.0,31338.404,563.214,548.692,p0010,2023,3085165,3086970.0,-1
11590,9050,387.068,376.753,20333.0,19800.777,387.068,376.753,p0010,2023,2117573,2118764.0,-1
11595,9055,35.275,34.404,2826.0,2766.207,35.275,34.404,p0010,2023,196704,196809.0,-1
11596,9056,11.247,11.015,1144.0,1122.594,11.247,11.015,p0010,2023,65041,65064.0,-1
11597,9057,601.336,586.224,33585.0,32759.274,601.336,586.224,p0010,2023,3187127,3188905.0,-1
11599,9059,137.823,133.891,8360.0,8147.327,137.823,133.891,p0010,2023,765574,766008.0,-1
11602,9062,151.954,147.617,8238.0,8010.122,151.954,147.617,p0010,2023,842153,842658.0,-1
11613,9063,992.546,970.064,71937.0,70436.398,992.546,970.064,p0010,2023,5411572,5414962.0,-1
11630,9066,63.49,61.906,4485.0,4383.052,63.49,61.906,p0010,2023,357532,357734.0,-1
11700,9067,39.78,38.815,3116.0,3049.706,39.78,38.815,p0010,2023,224316,224462.0,-1
11701,9068,188.307,183.1,9963.0,9694.321,188.307,183.1,p0010,2023,1032522,1033148.0,-1
11703,9070,748.455,729.547,41779.0,40749.108,748.455,729.547,p0010,2023,4073075,4075585.0,-1
11705,9072,803.374,771.364,45027.0,43302.194,803.374,771.364,p0010,2023,8811665,8816661.0,-1
11706,9073,7.803,7.519,730.0,707.586,7.803,7.519,p0010,2023,91865,91916.0,-1
