Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
15259,9643,0.018,0.018,4320.0,4096.449,0.018,0.018,p0011,2024,1054,449.0,-1
15260,9644,0.227,0.227,44798.0,44639.139,0.227,0.227,p0011,2024,12349,6121.0,-1
15267,9651,9.031,9.0,27828.0,25093.572,9.031,9.0,p0011,2024,111453,104952.0,-1
15269,9653,502.211,491.74,42777.0,41984.646,502.211,491.74,p0011,2024,5428737,5341904.0,-1
15270,9654,384.789,375.664,21784.0,21060.328,384.789,375.664,p0011,2024,4132841,4092969.0,-1
15287,9659,223.615,218.919,13878.0,13571.453,223.615,218.919,p0011,2024,2424802,2398172.0,-1
15289,9661,36.816,36.031,2615.0,2527.996,36.816,36.031,p0011,2024,399799,393995.0,-1
15290,9662,755.354,738.76,46394.0,45387.534,755.354,738.76,p0011,2024,8101394,8029285.0,-1
15387,9663,622.936,609.125,37718.0,36912.627,622.936,609.125,p0011,2024,6699951,6639506.0,-1
15388,9664,754.142,738.131,48072.0,46938.848,754.142,738.131,p0011,2024,8029830,7964636.0,-1
15390,9666,681.379,666.159,40641.0,39751.328,681.379,666.159,p0011,2024,7273871,7214205.0,-1
15391,9667,547.617,533.741,28377.0,27487.147,547.617,533.741,p0011,2024,5781224,5729694.0,-1
15394,9670,841.122,822.645,51994.0,50874.401,841.122,822.645,p0011,2024,8975701,8904757.0,-1
15396,9672,57.929,56.487,3797.0,3399.915,57.929,56.487,p0011,2024,623419,614809.0,-1
15398,9674,168.169,163.757,8888.0,8510.322,168.169,163.757,p0011,2024,1785058,1765922.0,-1
15415,9677,330.451,321.264,16796.0,16293.396,330.451,321.264,p0011,2024,3736270,3703184.0,-1
15418,9680,193.209,187.837,10032.0,9710.838,193.209,187.837,p0011,2024,2188519,2166780.0,-1
15421,9683,2.042,1.997,418.0,141.143,2.042,1.997,p0011,2024,25252,24852.0,-1
15422,9684,467.945,455.342,24409.0,23414.727,467.945,455.342,p0011,2024,5251013,5206431.0,-1
15424,9686,81.795,79.647,4695.0,4484.709,81.795,79.647,p0011,2024,925661,914830.0,-1
15425,9687,808.868,790.338,51707.0,50240.542,808.868,790.338,p0011,2024,9186530,9111197.0,-1
15429,9691,1069.79,1047.736,81478.0,79964.562,1069.79,1047.736,p0011,2024,12133725,12044019.0,-1
15432,9694,723.809,706.765,41720.0,40664.149,723.809,706.765,p0011,2024,7726627,7659992.0,-1
15434,9696,636.312,620.821,35423.0,34430.117,636.312,620.821,p0011,2024,6834175,6783855.0,-1
15438,9700,784.958,767.111,47725.0,46653.821,784.958,767.111,p0011,2024,8450811,8388017.0,-1
15439,9701,400.143,389.413,20094.0,19561.911,400.143,389.413,p0011,2024,4289222,4253928.0,-1
15443,9705,129.997,126.587,6998.0,6803.288,129.997,126.587,p0011,2024,1393202,1378853.0,-1
15445,9707,838.97,819.868,51332.0,50206.282,838.97,819.868,p0011,2024,9025912,8957790.0,-1
15446,9708,913.491,893.536,59847.0,58644.304,913.491,893.536,p0011,2024,9777695,9700658.0,-1
15455,9717,0.976,0.971,23140.0,21767.712,0.976,0.971,p0011,2024,12643,11388.0,-1
15553,9734,0.13,0.129,4188.0,4170.504,0.13,0.129,p0011,2024,2260,1581.0,-1
15676,9801,0.012,0.011,2113.0,1696.97,0.012,0.011,p0011,2024,389,123.0,-1
15678,9803,7.922,7.902,16080.0,15965.579,7.922,7.902,p0011,2024,91473,89862.0,-1
15679,9804,3.635,3.625,8044.0,7974.458,3.635,3.625,p0011,2024,41677,40978.0,-1
15681,9806,53.457,53.124,17613.0,17462.572,53.457,53.124,p0011,2024,601706,595330.0,-1
15683,9808,232.218,228.809,22457.0,22131.321,232.218,228.809,p0011,2024,2582175,2554841.0,-1
15685,9810,729.72,713.52,41519.0,40625.1,729.72,713.52,p0011,2024,6972679,6903125.0,-1
15687,9812,845.152,825.79,50429.0,49291.694,845.152,825.79,p0011,2024,9156957,9086605.0,-1
15688,9813,332.776,323.595,16330.0,15819.1,332.776,323.595,p0011,2024,3529153,3496187.0,-1
15691,9816,113.811,110.696,6036.0,5701.668,113.811,110.696,p0011,2024,1210039,1196653.0,-1
15694,9819,19.749,19.609,60318.0,59824.521,19.749,19.609,p0011,2024,633599,528507.0,-1
